,,,,,,,,,,,,,
Copyright IDEAS,,,,,Date,,,,,,,,
,,,,,,,,,,,,,
Register-Table,,,,,Authors,Amir Hasanbegovic ( IDEAS ),,,,,,,
Customer,IDEAS,,,,,Hans Kristian Otnes Berge ( IDEAS ),,,,,,,
Project-Name,NIRCA-mkII,,,,,,,,,,,,
,,,,,,,,,,,,,
Module-Name,bus_system,,,,,,,,,,,,
Num_Master,2,,,,,,,,,,,,
Bus_Width,8,,,,,,,,,,,,
Addr_Width,15,,,,,,,,,,,,
,,,,,,,,,,,,,
Reg-Name,Type,Size,Addr_min,Addr_max,Addr,Bitfield-Name,Bit,Reset,r/w,Comment,Connections,,Bits
IRQ_ENABLE,irq_reg_en,,0,,0000,,7:0,0,r/w,Interrupt & Status,,,8
IRQ_MASK_REG_0,irq_mask_reg,,1,,0001,,,,,,,,0
,,,-1,,,adc_cal_ready_mask,6,0,r/w,,i_digcore.i_bus_system.irq_mask_adc_cal_ready_s,,
,,,-1,,,adc_cal_busy_mask,5,0,r/w,,i_digcore.i_bus_system.irq_mask_adc_cal_busy_s,,
,,,-1,,,vadc_acq_ready_mask,4,0,r/w,,i_digcore.i_bus_system.irq_mask_vadc_acq_ready_s,,1
,,,-1,,,aadc_acq_ready_mask,3,0,r/w,,i_digcore.i_bus_system.irq_mask_aadc_acq_ready_s,,1
,,,-1,,,din_acq_ready_mask,2,0,r/w,,i_digcore.i_bus_system.irq_mask_din_acq_ready_s,,1
,,,-1,,,irq_seq_compare_match_mask,1,1,r/w,,i_digcore.i_bus_system.irq_mask_irq_seq_compare_match_s,,#VALUE!
,,,-1,,,irq_seq_compare_fail_mask,0,1,r/w,,i_digcore.i_bus_system.irq_mask_irq_seq_compare_fail_s,,#VALUE!
IRQ_MASK_REG_1,irq_mask_reg,,2,,0002,,,,,,,,0
,,,-2,,,irq_seq_halt_mask,7,0,r/w,Monitor IRQ Sequencer Halt,,,#VALUE!
,,,-2,,,irq_seq_reset_mask,6,0,r/w,,,,#VALUE!
,,,-2,,,irq_seq_userirq_mask,5:0,0,r/w,6 bits to send a user message from the sequencer to the master controller,,,6
IRQ_MASK_REG_2,irq_mask_reg,,3,,0003,,,,,,,,0
,,,-3,,,pirq1_mask,5,0,r/w,,i_digcore.i_bus_system.irq_mask_pirq1_s,,
,,,-3,,,pirq0_mask,4,0,r/w,,i_digcore.i_bus_system.irq_mask_pirq0_s,,
,,,-3,,,serdes_tx_ready_mask,3,0,r/w,,i_digcore.i_bus_system.irq_mask_serdes_tx_ready_s,,1
,,,-3,,,serdes_tx_busy_mask,2,0,r/w,,i_digcore.i_bus_system.irq_mask_serdes_tx_busy_s,,1
,,,-3,,,serdes_rx_ready_mask,1,0,r/w,,i_digcore.i_bus_system.irq_mask_serdes_rx_ready_s,,1
,,,-3,,,serdes_rx_busy_mask,0,0,r/w,,i_digcore.i_bus_system.irq_mask_serdes_rx_busy_s,,0
IRQ_MASK_REG_3,irq_mask_reg,,4,,0004,,,,,,,,0
,,,-4,,,irq_spi_readfifo_underflow_mask,7,0,r/w,Default value assumes value='1' masks (omits) the IRQ emision,i_digcore.i_bus_system.irq_mask_irq_spi_readfifo_underflow_s,,
,,,-4,,,irq_spi_cmdfifo_overflow_mask,6,0,r/w,Neither mask bit values inhibit the storage of the IRQ flag bit,i_digcore.i_bus_system.irq_mask_irq_spi_cmdfifo_overflow_s,,
,,,-4,,,irq_seq_stack_overflow_mask,5,0,r/w,,i_digcore.i_bus_system.irq_mask_irq_seq_stack_overflow_s,,
,,,-4,,,irq_seq_stack_underflow_mask,4,0,r/w,,i_digcore.i_bus_system.irq_mask_irq_seq_stack_underflow_s,,
,,,-4,,,irq_seq_ip_overflow_mask,3,0,r/w,,i_digcore.i_bus_system.irq_mask_irq_seq_ip_overflow_s,,
,,,-4,,,irq_iram_acorr_error_mask,2,0,r/w,instr ram auto-correct-fail,i_digcore.i_bus_system.irq_mask_irq_iram_acorr_error_s,,
,,,-4,,,irq_iram_noncorr_error_mask,1,0,r/w,instruction ram non-correctable error,i_digcore.i_bus_system.irq_mask_irq_iram_noncorr_error_s,,1
,,,-4,,,irq_iram_corr_error_mask,0,0,r/w,instruction ram correctable error,i_digcore.i_bus_system.irq_mask_irq_iram_corr_error_s,,1
IRQ_STATUS_REG_0,irq_status_reg,,5,,0005,,,,,,,,8
,,,-5,,,adc_cal_ready,6,0,r/rst,,i_digcore.i_adc.caleng.cal_ready_o,,
,,,-5,,,adc_cal_busy,5,0,r/rst,,i_digcore.i_adc.caleng.cal_busy_o,,
,,,-5,,,vadc_acq_ready,4,0,r/rst,,i_digcore.i_acq.vadc_acq_ready_o,,
,,,-5,,,aadc_acq_ready,3,0,r/rst,,i_digcore.i_acq.aadc_acq_ready_o,,
,,,-5,,,din_acq_ready,2,0,r/rst,,i_digcore.i_acq.din_acq_ready_o,,
,,,-5,,,irq_seq_compare_match,1,0,r/rst,,i_digcore.i_sequencer.mon_compare_match_o,,1
,,,-5,,,irq_seq_compare_fail,0,0,r/rst,,i_digcore.i_sequencer.mon_compare_fail_o,,0
IRQ_STATUS_REG_1,irq_status_reg,,6,,0006,,,,,,,,8
,,,-6,,,irq_seq_halt,7,0,r/rst,Monitor IRQ Sequencer Halt,i_digcore.i_spi.seq_halt_o,,1
,,,-6,,,irq_seq_reset,6,0,r/rst,Monitor IRQ Sequencer Reset ( synchr. ),i_digcore.i_spi.seq_reset_o,,1
,,,-6,,,irq_seq_userirq,5:0,0,r/rst,6 bits to send a user message from the sequencer to the master controller,i_digcore.i_sequencer.seq_userirq_o,,6
IRQ_STATUS_REG_2,irq_status_reg,,7,,0007,,,,,,,,4
,,,-7,,,pirq1,5,0,r/rst,Monitor IRQ => PIRQ1,i_digcore.i_pirq.pirq1_o,,
,,,-7,,,pirq0,4,0,r/rst,Monitor IRQ => PIRQ0,i_digcore.i_pirq.pirq0_o,,
,,,-7,,,serdes_tx_ready,3,0,r/rst,SerDes TX Ready,i_digcore.i_serdes.tx_ready_o,,
,,,-7,,,serdes_tx_busy,2,0,r/rst,SerDes TX Busy,i_digcore.i_serdes.tx_busy_o,,
,,,-7,,,serdes_rx_ready,1,0,r/rst,Serdes RX Ready,i_digcore.i_serdes.rx_ready_o,,
,,,-7,,,serdes_rx_busy,0,0,r/rst,SerDes RX Busy,i_digcore.i_serdes.rx_busy_o,,
IRQ_STATUS_REG_3,irq_status_reg,,8,,0008,,,,,RAM Error IRQs,,,4
,,,-8,,,irq_spi_readfifo_underflow,7,0,r/rst,,i_digcore.i_spi.readfifo_underflow_o,,1
,,,-8,,,irq_spi_cmdfifo_overflow,6,0,r/rst,,i_digcore.i_spi.cmdfifo_overflow_o,,1
,,,-8,,,irq_seq_stack_overflow,5,0,r/rst,,i_digcore.i_sequencer.mon_stack_overflow_o,,1
,,,-8,,,irq_seq_stack_underflow,4,0,r/rst,,i_digcore.i_sequencer.mon_stack_underflow_o,,1
,,,-8,,,irq_seq_ip_overflow,3,0,r/rst,,i_digcore.i_sequencer.mon_ip_overflow_o,,1
,,,-8,,,irq_iram_acorr_error,2,0,r/rst,instr ram auto-correct-fail,i_digcore.i_instr_ram.imem_flags_o[2],,
,,,-8,,,irq_iram_noncorr_error,1,0,r/rst,instr ram non-correctable error,i_digcore.i_instr_ram.imem_flags_o[1],,1
,,,-8,,,irq_iram_corr_error,0,0,r/rst,instruction ram correctable error,i_digcore.i_instr_ram.imem_flags_o[0],,1
# --- SERDES registers ---,,,-8,,,,,,,,,,0
serdes_start_ctrl,reg,,9,,0009,,,,,,,,
,,,-9,,,serdes_rx_start,6,0,w/pulse,RX Start -> Pulse-Register,i_digcore.i_serdes.conf_rx_start_i,,
,,,-9,,,serdes_rx_enable,5,0,r/w,Rx Enable,i_digcore.i_serdes.conf_rx_enable_i,,
,,,-9,,,serdes_rx_reset,4,0,w/pulse,RX Reset,i_digcore.i_serdes.conf_rx_reset_i,,
,,,-9,,,no_reg0,3,0,r/w,,,,
,,,-9,,,serdes_tx_start,2,0,w/pulse,TX Start -> Pulse-Register,i_digcore.i_serdes.conf_tx_start_i,,
,,,-9,,,serdes_tx_enable,1,0,r/w,TX Enable,i_digcore.i_serdes.conf_tx_enable_i,,
,,,-9,,,serdes_tx_reset,0,0,w/pulse,TX Reset,i_digcore.i_serdes.conf_tx_reset_i,,
serdes_count_ctrl,reg,,10,,000A,,,,,,,,
,,,-10,,,serdes_rx_count,6:4,7,r/w,RX Bitcount,i_digcore.i_serdes.conf_rx_count_i,,
,,,-10,,,no_reg1,3,0,r/w,,,,
,,,-10,,,serdes_tx_count,2:0,7,r/w,TX Bitcount,i_digcore.i_serdes.conf_tx_count_i,,
serdes_rx_phy_ctrl,reg,,11,,000B,,,,,,,,
,,,-11,,,serdes_rx_lsb_first,5,1,r/w,RX LSB(1)/ MSB(0)  first,i_digcore.i_serdes.conf_rx_lsb_first_i,,
,,,-11,,,serdes_rx_cpol,4,1,r/w,RX ClockPolarity,i_digcore.i_serdes.conf_rx_cpol_i,,
,,,-11,,,serdes_rx_cpha,3,1,r/w,RX ClockPhase,i_digcore.i_serdes.conf_rx_cpha_i,,
,,,-11,,,serdes_rx_halfperiod,2:0,2,r/w,RX Half Period / SERDES Clock,i_digcore.i_serdes.conf_rx_halfperiod_i,,
serdes_tx_phy_ctrl,reg,,12,,000C,,,,,,,,
,,,-12,,,serdes_tx_lsb_first,5,1,r/w,TX LSB(1)/ MSB(0)  first,i_digcore.i_serdes.conf_tx_lsb_first_i,,
,,,-12,,,serdes_tx_cpol,4,1,r/w,TX ClockPolarity,i_digcore.i_serdes.conf_tx_cpol_i,,
,,,-12,,,serdes_tx_cpha,3,1,r/w,TX ClockPhase,i_digcore.i_serdes.conf_tx_cpha_i,,
,,,-12,,,serdes_tx_halfperiod,2:0,2,r/w,TX Half Period / SERDES Clock,i_digcore.i_serdes.conf_tx_halfperiod_i,,
serdes_rx_data,reg,,13,,000D,,7:0,0,r,RX Data,i_digcore.i_serdes.rx_data_o,,
serdes_tx_data,reg,,14,,000E,,7:0,0,r/w,TX Data,i_digcore.i_serdes.conf_tx_data_i,,
# --- Sequencer registers ---,,,-14,,,,,,,,,,0
seq_irq0_mask,reg,,15,,000F,,7:0,0,r/w,Bus IRQ 0 Mask for Sequencer,i_digcore.i_sequencer.conf_irq0_mask_i,,
seq_irq1_mask,reg,,16,,0010,,7:0,0,r/w,Bus IRQ 1 Mask for Sequencer,i_digcore.i_sequencer.conf_irq1_mask_i,,
seq_irq2_mask,reg,,17,,0011,,7:0,0,r/w,Bus IRQ 2 Mask for Sequencer,i_digcore.i_sequencer.conf_irq2_mask_i,,
seq_irq3_mask,reg,,18,,0012,,7:0,0,r/w,Bus IRQ 3 Mask for Sequencer,i_digcore.i_sequencer.conf_irq3_mask_i,,
seq_irq_isr_mask,reg,,19,,0013,,5:0,0,r/w,ISR Mask selecting the IRQ Sources ( see Spec),i_digcore.i_sequencer.conf_irq_isr_mask_i,,
seq_irq_jump_mask,reg,,20,,0014,,5:0,0,r/w,JUMPI Mask selecting the IRQ Sources ( see Spec),i_digcore.i_sequencer.conf_irq_jump_mask_i,,
seq_irq_wait_mask,reg,,21,,0015,,5:0,0,r/w,Wait4IRQ Mask selecting the IRQ Sources ( see Spec),i_digcore.i_sequencer.conf_irq_wait_mask_i,,
